id,slug,title,url,http_code,final_url,reason
1366,peoplerun-os-tour-proof-ledger,"PeopleRun OS — Tour Proof Ledger",404,https://peoplerun.ai/peoplerun-os-tour-proof-ledger/,error
1365,peoplerun-os-public-tour,"PeopleRun OS — Public Tour",404,https://peoplerun.ai/peoplerun-os-public-tour/,error
1359,phase-iv-proof-exit,"Phase IV — Proof Exit",404,https://peoplerun.ai/phase-iv-proof-exit/,error
1355,authoritative-input-node-ain-1-contract,"[ARCHIVE] Authoritative Input Node (AIN-1) — Contract (unlinked->private 1355)",404,https://peoplerun.ai/authoritative-input-node-ain-1-contract/,error
1347,untitled,"[ARCHIVE] Hard Surface Entry (old slug=untitled 1347)",404,https://peoplerun.ai/untitled/,error
961,system-map,"PeopleRun OS — System Map",404,https://peoplerun.ai/system-map/,error
1341,boot-hub,"Boot Hub",404,https://peoplerun.ai/boot-hub/,error
1340,phase-iv-the-one-inevitable-move,"Phase IV — The One Inevitable Move",404,https://peoplerun.ai/phase-iv-the-one-inevitable-move/,error
1339,peoplerun-os-surface-candidates-registry,"PeopleRun OS — Surface Candidates Registry",404,https://peoplerun.ai/peoplerun-os-surface-candidates-registry/,error
1338,voice-capture-%e2%86%92-draft-%e2%86%92-build-system,"[ARCHIVE] Voice Capture → Draft → Build System (pattern->private 1338)",404,https://peoplerun.ai/voice-capture-%e2%86%92-draft-%e2%86%92-build-system/,error
1337,phase-iv-b-adoption-closed-canonical,"Phase IV-B — Adoption Closed (Canonical)",404,https://peoplerun.ai/phase-iv-b-adoption-closed-canonical/,error
1336,peoplerun-os-adoption-execute-escalation-preview,"PeopleRun OS — Adoption Execute: Escalation Preview",404,https://peoplerun.ai/peoplerun-os-adoption-execute-escalation-preview/,error
1335,peoplerun-os-adoption-execute-whats-next,"PeopleRun OS — Adoption Execute: What’s Next",404,https://peoplerun.ai/peoplerun-os-adoption-execute-whats-next/,error
1334,peoplerun-os-adoption-execute-resume-after-pause,"PeopleRun OS — Adoption Execute: Resume After Pause",404,https://peoplerun.ai/peoplerun-os-adoption-execute-resume-after-pause/,error
1333,peoplerun-os-adoption-execute-insight-loop,"PeopleRun OS — Adoption Execute: Insight Loop",404,https://peoplerun.ai/peoplerun-os-adoption-execute-insight-loop/,error
1332,peoplerun-os-adoption-execute-value-loop,"PeopleRun OS — Adoption Execute: Value Loop",404,https://peoplerun.ai/peoplerun-os-adoption-execute-value-loop/,error
1331,iv-b-adoption-signals-metrics,"[ARCHIVE] IV-B — Adoption Signals &amp; Metrics (unlinked->private 1331)",404,https://peoplerun.ai/iv-b-adoption-signals-metrics/,error
1330,iv-b-usage-loops-return-triggers,"[ARCHIVE] IV-B — Usage Loops &amp; Return Triggers (unlinked->private 1330)",404,https://peoplerun.ai/iv-b-usage-loops-return-triggers/,error
1329,ep-iv-b-adoption-entry-paths,"[ARCHIVE] EP-IV-B — Adoption Entry Paths (unlinked->private 1329)",404,https://peoplerun.ai/ep-iv-b-adoption-entry-paths/,error
1328,sc-iv-b-adoption-success-criteria,"[ARCHIVE] SC-IV-B — Adoption Success Criteria (unlinked->private 1328)",404,https://peoplerun.ai/sc-iv-b-adoption-success-criteria/,error
1327,phase-iv-b-adoption-open,"Phase IV-B — Adoption Open",404,https://peoplerun.ai/phase-iv-b-adoption-open/,error
1326,phase-iv-a-activation-closed-canonical,"Phase IV-A — Activation Closed (Canonical)",404,https://peoplerun.ai/phase-iv-a-activation-closed-canonical/,error
1325,phase-iv-a-activation-closed,"Phase IV-A — Activation Closed",404,https://peoplerun.ai/phase-iv-a-activation-closed/,error
1321,peoplerun-os-activation-execute-verifier,"PeopleRun OS — Activation Execute: Verifier",404,https://peoplerun.ai/peoplerun-os-activation-execute-verifier/,error
1323,peoplerun-os-activation-execute-log-hook,"PeopleRun OS — Activation Execute: Log Hook",404,https://peoplerun.ai/peoplerun-os-activation-execute-log-hook/,error
1320,peoplerun-os-activation-execute-checklist,"PeopleRun OS — Activation Execute: Checklist",404,https://peoplerun.ai/peoplerun-os-activation-execute-checklist/,error
1319,peoplerun-os-activation-complete,"PeopleRun OS — Activation Complete",404,https://peoplerun.ai/peoplerun-os-activation-complete/,error
1318,peoplerun-os-what-you-must-not-change,"PeopleRun OS — What You Must Not Change",404,https://peoplerun.ai/peoplerun-os-what-you-must-not-change/,error
1317,peoplerun-os-roles-permissions,"PeopleRun OS — Roles &amp; Permissions",404,https://peoplerun.ai/peoplerun-os-roles-permissions/,error
1316,peoplerun-os-first-use-guide,"PeopleRun OS — First-Use Guide",404,https://peoplerun.ai/peoplerun-os-first-use-guide/,error
1315,peoplerun-os-activation-overview,"PeopleRun OS — Activation Overview",404,https://peoplerun.ai/peoplerun-os-activation-overview/,error
1313,peoplerun-os-phase-iii-exit-criteria,"PeopleRun OS — Phase III Exit Criteria",404,https://peoplerun.ai/peoplerun-os-phase-iii-exit-criteria/,error
1312,peoplerun-os-reference-verification-bundle-rvb-v1-0,"PeopleRun OS — Reference Verification Bundle (RVB v1.0)",404,https://peoplerun.ai/peoplerun-os-reference-verification-bundle-rvb-v1-0/,error
1311,peoplerun-os-installer-contract-l1-l3,"PeopleRun OS — Installer Contract (L1–L3)",404,https://peoplerun.ai/peoplerun-os-installer-contract-l1-l3/,error
1309,peoplerun-os-installer-contract-l1,"PeopleRun OS — Installer Contract (L1)",404,https://peoplerun.ai/peoplerun-os-installer-contract-l1/,error
1308,peoplerun-os-transferability-boundaries,"PeopleRun OS — Transferability Boundaries",404,https://peoplerun.ai/peoplerun-os-transferability-boundaries/,error
1279,boot-hub-hard-surface-entry,"[ARCHIVE] Boot Hub — Hard Surface Entry (unlinked->private 1279)",404,https://peoplerun.ai/boot-hub-hard-surface-entry/,error
1306,peoplerun-os-canonical-indices-original,"[ARCHIVE] PeopleRun OS — Canonical Indices (dup 1306)",404,https://peoplerun.ai/peoplerun-os-canonical-indices-original/,error
1302,peoplerun-os-official-build-plan,"PeopleRun OS | Official Build Plan",404,https://peoplerun.ai/peoplerun-os-official-build-plan/,error
1301,external-commerce-link-payhip-checkout,"[ARCHIVE] External Commerce Link — Payhip Checkout (unlinked->private 1301)",404,https://peoplerun.ai/external-commerce-link-payhip-checkout/,error
1298,build-document,"Build Document",404,https://peoplerun.ai/build-document/,error
1291,builddoc-progress-console,"BuildDoc Progress Console",404,https://peoplerun.ai/builddoc-progress-console/,error
1287,1287-2,"[ARCHIVE] (blank title) (cleanup->private 1287)",404,https://peoplerun.ai/1287-2/,error
1286,social-surface-core-patch,"[ARCHIVE] Social Surface — Core patch (unlinked->private 1286)",404,https://peoplerun.ai/social-surface-core-patch/,error
1285,hard-surface-social-commenting-loop,"Hard Surface — Social Commenting Loop",404,https://peoplerun.ai/hard-surface-social-commenting-loop/,error
1284,governance-execution-map,"[ARCHIVE] Governance Execution Map (unlinked->private 1284)",404,https://peoplerun.ai/governance-execution-map/,error
1282,structural-reference-event-signal-log,"[ARCHIVE] Structural Reference — Event Signal Log (unlinked->private 1282)",404,https://peoplerun.ai/structural-reference-event-signal-log/,error
1281,social-surface-core,"[ARCHIVE] Social Surface — Core (unlinked->private 1281)",404,https://peoplerun.ai/social-surface-core/,error
1278,structural-reference,"[ARCHIVE] Structural Reference (unlinked->private 1278)",404,https://peoplerun.ai/structural-reference/,error
1274,hard-surface-idea-pitching,"Hard Surface — Idea Pitching",404,https://peoplerun.ai/hard-surface-idea-pitching/,error
1273,hard-surface-publisher-studio-intelligence-layer-phase-iii,"Hard Surface — Publisher Studio Intelligence Layer (Phase III)",404,https://peoplerun.ai/hard-surface-publisher-studio-intelligence-layer-phase-iii/,error
